,percentage,tierBased,maker,taker,tiers,precision,limits,id,symbol,base,quote,baseId,quoteId,type,future,spot,active,info
1INCH-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH-PERP,1INCH-PERP,1INCH,USD,1INCH,USD,future,True,False,True,"{'name': '1INCH-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.4457', 'bid': '3.4434', 'ask': '3.4465', 'price': '3.4457', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': '1INCH', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.0031441963375935253', 'change24h': '-0.04096969022238303', 'changeBod': '-0.03592512800425282', 'quoteVolume24h': '10563693.9455', 'volumeUsd24h': '10563693.9455'}"
1INCH-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH-0625,1INCH-0625,1INCH,USD,1INCH,USD,future,True,False,True,"{'name': '1INCH-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.4364', 'bid': '3.4193', 'ask': '3.4345', 'price': '3.4345', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': '1INCH', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.007214287809026658', 'change24h': '-0.042381151540499096', 'changeBod': '-0.03595688542076012', 'quoteVolume24h': '152631.6313', 'volumeUsd24h': '152631.6313'}"
1INCH-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH-0924,1INCH-0924,1INCH,USD,1INCH,USD,future,True,False,True,"{'name': '1INCH-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.3639', 'bid': '3.3663', 'ask': '3.381', 'price': '3.3663', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': '1INCH', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.0013087837234896933', 'change24h': '-0.05134563900239538', 'changeBod': '-0.04420783645655877', 'quoteVolume24h': '49648.2197', 'volumeUsd24h': '49648.2197'}"
1INCH/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH/USD,1INCH/USD,1INCH,USD,1INCH,USD,spot,False,True,True,"{'name': '1INCH/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.447', 'bid': '3.4467', 'ask': '3.4513', 'price': '3.447', 'type': 'spot', 'baseCurrency': '1INCH', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.0011036245353159852', 'change24h': '-0.0418878728076271', 'changeBod': '-0.03588510055100271', 'quoteVolume24h': '1020979.2502', 'volumeUsd24h': '1020979.2502'}"
AAPL-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAPL-0625,AAPL-0625,AAPL,USD,AAPL,USD,future,True,False,True,"{'name': 'AAPL-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '132.34', 'bid': '132.48', 'ask': '132.56', 'price': '132.48', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAPL', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '0.003940588056986966', 'change24h': '0.014162137334456098', 'changeBod': '0.023327668778000927', 'quoteVolume24h': '15958.7463', 'volumeUsd24h': '15958.7463'}"
AAPL-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAPL-0924,AAPL-0924,AAPL,USD,AAPL,USD,future,True,False,True,"{'name': 'AAPL-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '132.51', 'bid': '132.62', 'ask': '132.7', 'price': '132.62', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAPL', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '0.003936411809235428', 'change24h': '0.013836862625181561', 'changeBod': '0.02172573189522342', 'quoteVolume24h': '60394.585', 'volumeUsd24h': '60394.585'}"
AAPL/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAPL/USD,AAPL/USD,AAPL,USD,AAPL,USD,spot,False,True,True,"{'name': 'AAPL/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '132.61', 'bid': '132.53', 'ask': '132.57', 'price': '132.57', 'type': 'spot', 'baseCurrency': 'AAPL', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': True, 'change1h': '0.004622612913003941', 'change24h': '0.014928801102434544', 'changeBod': '0.02307454854144158', 'quoteVolume24h': '22045.6901', 'volumeUsd24h': '22045.6901'}"
AAVE-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE-PERP,AAVE-PERP,AAVE,USD,AAVE,USD,future,True,False,True,"{'name': 'AAVE-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '299.61', 'bid': '299.53', 'ask': '299.71', 'price': '299.61', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAVE', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.010489038785834738', 'change24h': '0.017766152591888035', 'changeBod': '0.035924209943987276', 'quoteVolume24h': '20934984.2718', 'volumeUsd24h': '20934984.2718'}"
AAVE-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE-0625,AAVE-0625,AAVE,USD,AAVE,USD,future,True,False,True,"{'name': 'AAVE-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '294.4', 'bid': '299.58', 'ask': '300.58', 'price': '299.58', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAVE', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.01079694986166408', 'change24h': '0.013224202658369127', 'changeBod': '0.03104350220264317', 'quoteVolume24h': '39132.5904', 'volumeUsd24h': '39132.5904'}"
AAVE-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE-0924,AAVE-0924,AAVE,USD,AAVE,USD,future,True,False,True,"{'name': 'AAVE-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '302.72', 'bid': '303.34', 'ask': '304.36', 'price': '303.34', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAVE', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.01086376966142362', 'change24h': '0.015262065733984871', 'changeBod': '0.030261861902659375', 'quoteVolume24h': '119855.5707', 'volumeUsd24h': '119855.5707'}"
AAVE/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE/USD,AAVE/USD,AAVE,USD,AAVE,USD,spot,False,True,True,"{'name': 'AAVE/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '299.35', 'bid': '299.21', 'ask': '299.6', 'price': '299.35', 'type': 'spot', 'baseCurrency': 'AAVE', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.010020919090356973', 'change24h': '0.016882940417147906', 'changeBod': '0.03513261177772399', 'quoteVolume24h': '1701733.754', 'volumeUsd24h': '1701733.754'}"
AAVE/USDT,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE/USDT,AAVE/USDT,AAVE,USDT,AAVE,USDT,spot,False,True,True,"{'name': 'AAVE/USDT', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '298.86', 'bid': '299.23', 'ask': '299.67', 'price': '299.23', 'type': 'spot', 'baseCurrency': 'AAVE', 'quoteCurrency': 'USDT', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.008629116526780597', 'change24h': '0.016095622941356243', 'changeBod': '0.035218820273309116', 'quoteVolume24h': '241531.1336', 'volumeUsd24h': '241527.208719079'}"
ABNB-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.025, 'price': 0.005}","{'amount': {'min': 0.025, 'max': None}, 'price': {'min': 0.005, 'max': None}, 'cost': {'min': None, 'max': None}}",ABNB-0625,ABNB-0625,ABNB,USD,ABNB,USD,future,True,False,True,"{'name': 'ABNB-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.005', 'sizeIncrement': '0.025', 'minProvideSize': '0.025', 'last': '150.82', 'bid': '152.11', 'ask': '152.19', 'price': '152.11', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ABNB', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '0.012918692148897916', 'change24h': '0.0034965034965034965', 'changeBod': '0.018309623430962343', 'quoteVolume24h': '128476.44625', 'volumeUsd24h': '128476.44625'}"
ABNB-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.025, 'price': 0.005}","{'amount': {'min': 0.025, 'max': None}, 'price': {'min': 0.005, 'max': None}, 'cost': {'min': None, 'max': None}}",ABNB-0924,ABNB-0924,ABNB,USD,ABNB,USD,future,True,False,True,"{'name': 'ABNB-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.005', 'sizeIncrement': '0.025', 'minProvideSize': '0.025', 'last': '151.885', 'bid': '152.23', 'ask': '152.405', 'price': '152.23', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ABNB', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '0.012638861172088072', 'change24h': '0.0028326745718050064', 'changeBod': '0.025152362032391663', 'quoteVolume24h': '322.293125', 'volumeUsd24h': '322.293125'}"
ABNB/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.025, 'price': 0.005}","{'amount': {'min': 0.025, 'max': None}, 'price': {'min': 0.005, 'max': None}, 'cost': {'min': None, 'max': None}}",ABNB/USD,ABNB/USD,ABNB,USD,ABNB,USD,spot,False,True,True,"{'name': 'ABNB/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.005', 'sizeIncrement': '0.025', 'minProvideSize': '0.025', 'last': '152.0', 'bid': '151.95', 'ask': '152.28', 'price': '152.0', 'type': 'spot', 'baseCurrency': 'ABNB', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': True, 'change1h': '0.011445302102741549', 'change24h': '0.003366558848768896', 'changeBod': '0.02040816326530612', 'quoteVolume24h': '1794.166', 'volumeUsd24h': '1794.166'}"
ACB-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.1, 'price': 0.001}","{'amount': {'min': 0.1, 'max': None}, 'price': {'min': 0.001, 'max': None}, 'cost': {'min': None, 'max': None}}",ACB-0625,ACB-0625,ACB,USD,ACB,USD,future,True,False,True,"{'name': 'ACB-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.001', 'sizeIncrement': '0.1', 'minProvideSize': '0.1', 'last': '9.266', 'bid': '9.28', 'ask': '9.288', 'price': '9.28', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ACB', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '-0.006636694497966175', 'change24h': '-0.012030235281592675', 'changeBod': '0.00151090006475286', 'quoteVolume24h': '26992.763', 'volumeUsd24h': '26992.763'}"
ACB-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.1, 'price': 0.001}","{'amount': {'min': 0.1, 'max': None}, 'price': {'min': 0.001, 'max': None}, 'cost': {'min': None, 'max': None}}",ACB-0924,ACB-0924,ACB,USD,ACB,USD,future,True,False,True,"{'name': 'ACB-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.001', 'sizeIncrement': '0.1', 'minProvideSize': '0.1', 'last': None, 'bid': '9.294', 'ask': '9.301', 'price': '9.2975', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ACB', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '-0.007949210413999146', 'change24h': '-0.010799021172465156', 'changeBod': '0.0004304083499219885', 'quoteVolume24h': '0.0', 'volumeUsd24h': '0.0'}"
ACB/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.1, 'price': 0.001}","{'amount': {'min': 0.1, 'max': None}, 'price': {'min': 0.001, 'max': None}, 'cost': {'min': None, 'max': None}}",ACB/USD,ACB/USD,ACB,USD,ACB,USD,spot,False,True,True,"{'name': 'ACB/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.001', 'sizeIncrement': '0.1', 'minProvideSize': '0.1', 'last': '9.375', 'bid': '9.304', 'ask': '9.314', 'price': '9.314', 'type': 'spot', 'baseCurrency': 'ACB', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': True, 'change1h': '-0.003317281968967362', 'change24h': '-0.010727562400424854', 'changeBod': '-0.0011796246648793566', 'quoteVolume24h': '61.81', 'volumeUsd24h': '61.81'}"
ADA-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 5e-06}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 5e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",ADA-PERP,ADA-PERP,ADA,USD,ADA,USD,future,True,False,True,"{'name': 'ADA-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '5e-6', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '1.50193', 'bid': '1.50193', 'ask': '1.501945', 'price': '1.50193', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ADA', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.002590033710490304', 'change24h': '0.0006629201131294827', 'changeBod': '0.011887878675591278', 'quoteVolume24h': '56643286.364', 'volumeUsd24h': '56643286.364'}"
ADA-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 5e-06}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 5e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",ADA-0625,ADA-0625,ADA,USD,ADA,USD,future,True,False,True,"{'name': 'ADA-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '5e-6', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '1.49847', 'bid': '1.497225', 'ask': '1.49963', 'price': '1.49847', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ADA', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.001376628063164507', 'change24h': '0.0012394637231352085', 'changeBod': '0.013424679768973774', 'quoteVolume24h': '1861794.131225', 'volumeUsd24h': '1861794.131225'}"
ADA-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 5e-06}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 5e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",ADA-0924,ADA-0924,ADA,USD,ADA,USD,future,True,False,True,"{'name': 'ADA-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '5e-6', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '1.509265', 'bid': '1.510215', 'ask': '1.513115', 'price': '1.510215', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ADA', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '-0.0002912643853163032', 'change24h': '-0.0010120754492325093', 'changeBod': '0.014128628267329225', 'quoteVolume24h': '1908262.49988', 'volumeUsd24h': '1908262.49988'}"
AKRO/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 5e-06}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 5e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",AKRO/USD,AKRO/USD,AKRO,USD,AKRO,USD,spot,False,True,True,"{'name': 'AKRO/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '5e-6', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '0.025105', 'bid': '0.02503', 'ask': '0.025095', 'price': '0.025095', 'type': 'spot', 'baseCurrency': 'AKRO', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.016815235008103727', 'change24h': '0.10550660792951543', 'changeBod': '0.14146008642256083', 'quoteVolume24h': '44112.670355', 'volumeUsd24h': '44112.670355'}"
AKRO/USDT,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 5e-06}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 5e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",AKRO/USDT,AKRO/USDT,AKRO,USDT,AKRO,USDT,spot,False,True,True,"{'name': 'AKRO/USDT', 'enabled': True, 'postOnly': False, 'priceIncrement': '5e-6', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '0.02494', 'bid': '0.024835', 'ask': '0.025095', 'price': '0.02494', 'type': 'spot', 'baseCurrency': 'AKRO', 'quoteCurrency': 'USDT', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.018998978549540347', 'change24h': '0.10305174701459531', 'changeBod': '0.13881278538812786', 'quoteVolume24h': '28703.55764', 'volumeUsd24h': '28703.09120718835'}"
ALCX-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.001, 'price': 0.1}","{'amount': {'min': 0.001, 'max': None}, 'price': {'min': 0.1, 'max': None}, 'cost': {'min': None, 'max': None}}",ALCX-PERP,ALCX-PERP,ALCX,USD,ALCX,USD,future,True,False,True,"{'name': 'ALCX-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.1', 'sizeIncrement': '0.001', 'minProvideSize': '0.001', 'last': '480.1', 'bid': '480.3', 'ask': '480.9', 'price': '480.3', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'ALCX', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.0010421008753647354', 'change24h': '-0.12193784277879342', 'changeBod': '0.050065588106689984', 'quoteVolume24h': '3031242.6291', 'volumeUsd24h': '3031242.6291'}"
