,percentage,tierBased,maker,taker,tiers,precision,limits,id,symbol,base,quote,baseId,quoteId,type,future,spot,active,info
CGC-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.1, 'price': 0.0025}","{'amount': {'min': 0.1, 'max': None}, 'price': {'min': 0.0025, 'max': None}, 'cost': {'min': None, 'max': None}}",CGC-0625,CGC-0625,CGC,USD,CGC,USD,future,True,False,True,"{'name': 'CGC-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0025', 'sizeIncrement': '0.1', 'minProvideSize': '0.1', 'last': '23.855', 'bid': '24.12', 'ask': '24.205', 'price': '24.12', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'CGC', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '-0.0028937577511368336', 'change24h': '-0.007407407407407408', 'changeBod': '0.006047966631908238', 'quoteVolume24h': '27953.951', 'volumeUsd24h': '27953.951'}"
CGC-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.1, 'price': 0.0025}","{'amount': {'min': 0.1, 'max': None}, 'price': {'min': 0.0025, 'max': None}, 'cost': {'min': None, 'max': None}}",CGC-0924,CGC-0924,CGC,USD,CGC,USD,future,True,False,True,"{'name': 'CGC-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0025', 'sizeIncrement': '0.1', 'minProvideSize': '0.1', 'last': '24.375', 'bid': '24.19', 'ask': '24.2275', 'price': '24.2275', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'CGC', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '-0.001956745623069001', 'change24h': '-0.004826453070445677', 'changeBod': '0.006438882542320075', 'quoteVolume24h': '12.08925', 'volumeUsd24h': '12.08925'}"
CGC/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.1, 'price': 0.0025}","{'amount': {'min': 0.1, 'max': None}, 'price': {'min': 0.0025, 'max': None}, 'cost': {'min': None, 'max': None}}",CGC/USD,CGC/USD,CGC,USD,CGC,USD,spot,False,True,True,"{'name': 'CGC/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0025', 'sizeIncrement': '0.1', 'minProvideSize': '0.1', 'last': '24.1325', 'bid': '24.1875', 'ask': '24.275', 'price': '24.1875', 'type': 'spot', 'baseCurrency': 'CGC', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': True, 'change1h': '-0.002680136068446552', 'change24h': '-0.0074887156339762005', 'changeBod': '0.003526605123949798', 'quoteVolume24h': '2.41325', 'volumeUsd24h': '2.41325'}"
CHZ-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 10.0, 'price': 1e-06}","{'amount': {'min': 10.0, 'max': None}, 'price': {'min': 1e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",CHZ-PERP,CHZ-PERP,CHZ,USD,CHZ,USD,future,True,False,True,"{'name': 'CHZ-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '1e-6', 'sizeIncrement': '10.0', 'minProvideSize': '10.0', 'last': '0.336779', 'bid': '0.33682', 'ask': '0.336951', 'price': '0.33682', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'CHZ', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.0060604974446744385', 'change24h': '0.02810955676091462', 'changeBod': '0.0009688137084167919', 'quoteVolume24h': '55678884.76027', 'volumeUsd24h': '55678884.76027'}"
CHZ-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 10.0, 'price': 1e-06}","{'amount': {'min': 10.0, 'max': None}, 'price': {'min': 1e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",CHZ-0625,CHZ-0625,CHZ,USD,CHZ,USD,future,True,False,True,"{'name': 'CHZ-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '1e-6', 'sizeIncrement': '10.0', 'minProvideSize': '10.0', 'last': '0.338044', 'bid': '0.336926', 'ask': '0.33865', 'price': '0.338044', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'CHZ', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.006361879925098316', 'change24h': '0.028693151560336565', 'changeBod': '0.0031812732215139535', 'quoteVolume24h': '1468103.8948', 'volumeUsd24h': '1468103.8948'}"
CHZ-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 10.0, 'price': 1e-06}","{'amount': {'min': 10.0, 'max': None}, 'price': {'min': 1e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",CHZ-0924,CHZ-0924,CHZ,USD,CHZ,USD,future,True,False,True,"{'name': 'CHZ-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '1e-6', 'sizeIncrement': '10.0', 'minProvideSize': '10.0', 'last': '0.349595', 'bid': '0.341957', 'ask': '0.345648', 'price': '0.345648', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'CHZ', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.005378142461147356', 'change24h': '0.03120021480354426', 'changeBod': '0.012846359416756528', 'quoteVolume24h': '59026.16887', 'volumeUsd24h': '59026.16887'}"
CHZ/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 10.0, 'price': 1e-06}","{'amount': {'min': 10.0, 'max': None}, 'price': {'min': 1e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",CHZ/USD,CHZ/USD,CHZ,USD,CHZ,USD,spot,False,True,True,"{'name': 'CHZ/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '1e-6', 'sizeIncrement': '10.0', 'minProvideSize': '10.0', 'last': '0.337326', 'bid': '0.336841', 'ask': '0.338832', 'price': '0.337326', 'type': 'spot', 'baseCurrency': 'CHZ', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.006186391132640521', 'change24h': '0.026973872486041172', 'changeBod': '0.0031582328170723004', 'quoteVolume24h': '5866742.11125', 'volumeUsd24h': '5866742.11125'}"
CHZ/USDT,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 10.0, 'price': 1e-06}","{'amount': {'min': 10.0, 'max': None}, 'price': {'min': 1e-06, 'max': None}, 'cost': {'min': None, 'max': None}}",CHZ/USDT,CHZ/USDT,CHZ,USDT,CHZ,USDT,spot,False,True,True,"{'name': 'CHZ/USDT', 'enabled': True, 'postOnly': False, 'priceIncrement': '1e-6', 'sizeIncrement': '10.0', 'minProvideSize': '10.0', 'last': '0.337495', 'bid': '0.336819', 'ask': '0.33748', 'price': '0.33748', 'type': 'spot', 'baseCurrency': 'CHZ', 'quoteCurrency': 'USDT', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.007222586999343401', 'change24h': '0.029432848022304173', 'changeBod': '0.0015848236809459083', 'quoteVolume24h': '2582381.5617', 'volumeUsd24h': '2582339.5979996226'}"
COIN/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.0025}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.0025, 'max': None}, 'cost': {'min': None, 'max': None}}",COIN/USD,COIN/USD,COIN,USD,COIN,USD,spot,False,True,True,"{'name': 'COIN/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0025', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '229.6', 'bid': '230.5575', 'ask': '230.56', 'price': '230.5575', 'type': 'spot', 'baseCurrency': 'COIN', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': True, 'change1h': '0.006812301444338912', 'change24h': '-0.012252723124872814', 'changeBod': '0.010607637937647253', 'quoteVolume24h': '4402.4522', 'volumeUsd24h': '4402.4522'}"
COMP-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.0001, 'price': 0.01}","{'amount': {'min': 0.0001, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",COMP-PERP,COMP-PERP,COMP,USD,COMP,USD,future,True,False,True,"{'name': 'COMP-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.0001', 'minProvideSize': '0.0001', 'last': '310.72', 'bid': '310.57', 'ask': '310.83', 'price': '310.72', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'COMP', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.007653392139058243', 'change24h': '0.0063153803802182855', 'changeBod': '0.020058435376382917', 'quoteVolume24h': '8976598.335163', 'volumeUsd24h': '8976598.335163'}"
