Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1596610800000,2020-08-05 07:00:00,396.98,440.52,396.98,401.03,55953,1596614399999,1386.81317737,738,29659,743.87770745,0
1596614400000,2020-08-05 08:00:00,401.03,414.11,397.22,408.67,26222,1596617999999,648.40918239,862,15000,373.25326434,0
1596618000000,2020-08-05 09:00:00,408.67,416.20,408.57,411.90,14104,1596621599999,342.68552106,470,2670,64.95099575,0
1596621600000,2020-08-05 10:00:00,412.05,412.78,409.85,411.47,4448,1596625199999,108.17412312,417,2777,67.56649305,0
1596625200000,2020-08-05 11:00:00,411.51,418.08,411.51,415.98,12848,1596628799999,309.29007651,497,5632,135.84272489,0
1596628800000,2020-08-05 12:00:00,416.03,418.61,415.27,418.20,12094,1596632399999,290.14024853,366,8140,195.16486847,0
1596632400000,2020-08-05 13:00:00,418.45,421.00,416.86,418.28,6013,1596635999999,143.77926986,463,2034,48.56942581,0
1596636000000,2020-08-05 14:00:00,418.37,418.84,415.71,416.87,30856,1596639599999,738.76366959,519,2798,67.18474883,0
1596639600000,2020-08-05 15:00:00,416.87,417.80,416.79,416.95,3375,1596643199999,80.89480042,427,1835,43.97946468,0
1596643200000,2020-08-05 16:00:00,416.80,427.92,416.60,416.60,20923,1596646799999,497.69611046,564,7844,187.16309156,0
1596646800000,2020-08-05 17:00:00,416.60,417.04,416.11,416.42,8226,1596650399999,197.54161468,271,5834,140.08881622,0
1596650400000,2020-08-05 18:00:00,416.25,417.49,416.25,417.33,3513,1596653999999,84.27950303,427,2504,60.06512820,0
1596654000000,2020-08-05 19:00:00,417.29,420.47,417.29,418.91,10906,1596657599999,260.60882105,473,6185,147.69977068,0
1596657600000,2020-08-05 20:00:00,418.79,421.90,418.19,421.68,3084,1596661199999,73.38863848,406,1919,45.67186240,0
1596661200000,2020-08-05 21:00:00,421.69,431.10,421.39,428.05,19054,1596664799999,446.33032825,593,9478,221.48232925,0
1596664800000,2020-08-05 22:00:00,428.03,428.12,406.93,418.83,77122,1596668399999,1847.71318113,983,38538,925.33747232,0
1596668400000,2020-08-05 23:00:00,418.91,421.20,374.25,420.32,49270,1596671999999,1194.35642724,671,16194,386.91199493,0
1596672000000,2020-08-06 00:00:00,420.35,422.83,418.81,419.27,11341,1596675599999,269.98232889,440,5949,141.63561298,0
1596675600000,2020-08-06 01:00:00,419.13,419.86,415.50,416.04,11611,1596679199999,277.63978663,483,1878,45.01198961,0
1596679200000,2020-08-06 02:00:00,415.90,416.59,412.91,416.46,3033,1596682799999,73.05891401,362,1533,36.95256759,0
1596682800000,2020-08-06 03:00:00,416.44,416.54,413.53,413.81,6457,1596686399999,155.77463163,356,2697,65.08496230,0
1596686400000,2020-08-06 04:00:00,413.87,414.04,410.97,411.77,18921,1596689999999,458.77460562,475,9808,237.68261268,0
1596690000000,2020-08-06 05:00:00,411.59,413.92,410.53,412.81,5145,1596693599999,124.87435322,454,3377,81.99819895,0
1596693600000,2020-08-06 06:00:00,412.81,415.34,412.81,415.32,7091,1596697199999,171.18988467,444,5651,136.46041126,0
1596697200000,2020-08-06 07:00:00,415.31,415.58,413.11,413.18,9010,1596700799999,217.06515807,484,2367,57.01670974,0
1596700800000,2020-08-06 08:00:00,413.18,416.23,413.14,416.23,12979,1596704399999,312.60149908,479,7245,174.58404303,0
1596704400000,2020-08-06 09:00:00,416.29,417.27,414.76,415.09,6952,1596707999999,167.00739481,449,3054,73.38126101,0
1596708000000,2020-08-06 10:00:00,415.11,415.11,412.13,412.15,12466,1596711599999,301.84160699,325,3072,74.44621844,0
1596711600000,2020-08-06 11:00:00,412.15,414.59,411.98,413.01,10809,1596715199999,261.72618177,420,7664,185.69943261,0
1596715200000,2020-08-06 12:00:00,412.97,415.86,412.97,415.83,5715,1596718799999,137.67285685,403,3144,75.76061886,0
1596718800000,2020-08-06 13:00:00,415.84,419.75,415.06,419.34,16435,1596722399999,393.70732282,511,10177,243.95494941,0
1596722400000,2020-08-06 14:00:00,419.54,419.57,414.03,415.52,14874,1596725999999,357.05628890,526,4973,119.53720948,0
1596726000000,2020-08-06 15:00:00,415.54,420.00,415.53,419.48,14628,1596729599999,349.24880688,452,9665,230.89314116,0
1596729600000,2020-08-06 16:00:00,419.78,419.97,415.96,417.57,4683,1596733199999,112.09182760,452,2261,54.17019547,0
1596733200000,2020-08-06 17:00:00,417.58,418.16,414.71,415.96,3058,1596736799999,73.50622401,458,1521,36.56879456,0
1596736800000,2020-08-06 18:00:00,416.20,416.77,413.75,415.83,2704,1596740399999,65.07007527,434,1193,28.71617623,0
1596740400000,2020-08-06 19:00:00,415.83,417.33,415.34,416.17,4377,1596743999999,105.15943756,435,2565,61.65524272,0
1596744000000,2020-08-06 20:00:00,416.19,417.35,413.66,415.00,3941,1596747599999,94.80218618,466,1734,41.74578026,0
1596747600000,2020-08-06 21:00:00,415.00,416.22,411.03,414.12,10017,1596751199999,242.52964829,477,4885,118.30256400,0
1596751200000,2020-08-06 22:00:00,414.12,415.03,411.34,413.33,8832,1596754799999,213.92951909,456,4281,103.79940876,0
1596754800000,2020-08-06 23:00:00,413.21,413.36,408.42,412.70,22712,1596758399999,553.07136162,542,10452,254.42234150,0
1596758400000,2020-08-07 00:00:00,412.71,414.10,411.22,412.48,2573,1596761999999,62.30163653,392,1162,28.14954235,0
1596762000000,2020-08-07 01:00:00,412.43,417.12,412.43,415.27,16153,1596765599999,388.42611010,479,10917,262.61751742,0
1596765600000,2020-08-07 02:00:00,415.27,417.32,414.86,415.49,4450,1596769199999,106.85765564,453,2232,53.61482462,0
1596769200000,2020-08-07 03:00:00,415.47,417.63,414.79,415.13,8488,1596772799999,203.89870962,466,4333,104.17493478,0
1596772800000,2020-08-07 04:00:00,415.18,415.25,413.15,415.15,2284,1596776399999,55.13642299,421,1214,29.31126366,0
1596776400000,2020-08-07 05:00:00,415.19,415.24,412.42,412.58,3523,1596779999999,85.18044780,445,1578,38.16820234,0
1596780000000,2020-08-07 06:00:00,412.79,415.39,412.37,415.15,3157,1596783599999,76.29150143,355,1667,40.29742863,0
1596783600000,2020-08-07 07:00:00,415.15,415.15,412.29,412.86,4252,1596787199999,102.99897883,455,1470,35.60473131,0
1596787200000,2020-08-07 08:00:00,413.08,415.78,411.36,414.05,7179,1596790799999,173.17066615,456,3553,85.74251307,0
1596790800000,2020-08-07 09:00:00,414.07,417.34,413.83,416.11,6810,1596794399999,163.71034994,455,3650,87.79566652,0
1596794400000,2020-08-07 10:00:00,416.10,416.83,412.80,412.96,5278,1596797999999,127.32027818,437,2284,55.14608364,0
1596798000000,2020-08-07 11:00:00,412.96,413.03,410.42,411.57,4951,1596801599999,120.20694677,434,2605,63.27613769,0
1596801600000,2020-08-07 12:00:00,411.58,412.30,409.31,411.81,3003,1596805199999,73.02134444,431,1639,39.85547886,0
1596805200000,2020-08-07 13:00:00,411.78,412.95,409.42,410.68,13268,1596808799999,322.96451615,428,4015,97.77926527,0
1596808800000,2020-08-07 14:00:00,410.69,410.79,390.66,400.63,33351,1596812399999,833.96366403,629,11105,277.76119948,0
1596812400000,2020-08-07 15:00:00,400.48,403.37,399.39,401.04,5762,1596815999999,143.27129440,336,3095,76.96607295,0
1596816000000,2020-08-07 16:00:00,401.01,408.09,393.87,393.87,44789,1596819599999,1122.12983168,649,29764,744.49532318,0
1596819600000,2020-08-07 17:00:00,393.78,394.49,377.51,387.98,64700,1596823199999,1674.38516148,1196,32939,852.89920275,0
1596823200000,2020-08-07 18:00:00,387.95,389.16,375.80,387.30,127566,1596826799999,3313.83313918,1356,46301,1201.76322620,0
1596826800000,2020-08-07 19:00:00,387.35,392.60,386.58,388.96,12710,1596830399999,325.54941922,546,7580,194.00236331,0
1596830400000,2020-08-07 20:00:00,388.96,395.37,387.15,391.69,34926,1596833999999,888.57559930,752,16111,410.30815866,0
